0,1,2,3,4,5,6
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,
,Raw,Washed,Refined,Raw,Washed,Refined
September '12,"1,755.00","1,899.79","2,237.83",42.33,44.50,50.11
October,"1,674.54","1,820.63","2,070.79",42.09,44.63,50.55
November,"1,501.75","1,645.56","1,972.29",42.67,45.06,49.95
December,"1,439.00","1,540.00","1,899.50",42.18,44.56,49.38
January  2013,"1,444.75","1,527.06","1,902.25",41.58,43.77,48.84
February,"1,510.75","1,619.00","1,953.00",36.69,42.10,47.56
March,"1,496.19","1,603.25","1,927.42",39.14,41.89,47.28
April,"1,576.59","1,693.89","1,976.48",38.98,41.89,47.11
May,"1,620.22","1,767.78","2,015.00",40.65,42.29,47.55
June,"1,612.88","1,784.06","2,014.38",39.75,42.80,47.39
July,"1,590.78","1,781.11","1,997.78",40.70,42.71,47.73
August,"1,579.46","1,770.43","1,979.75",39.40,42.56,47.33
Average,"1 ,566.83","1 ,704.38","1,995.54",40.51,43.23,48.40
