dataset,source_period,path,status,mode_used,tables_found
raw_production,2010-2015,data\raw\2010-2015\raw_production_area_yield.pdf,success,lattice,1
refined_production,2010-2015,data\raw\2010-2015\refined_production.pdf,success,lattice,1
raw_domestic_withdrawals,2010-2015,data\raw\2010-2015\raw_domestic_withdrawals.pdf,success,lattice,1
refined_withdrawals,2010-2015,data\raw\2010-2015\refined_withdrawals.pdf,success,lattice,1
metro_manila_prices,2010-2015,data\raw\2010-2015\metro_manila_prices.pdf,success,lattice,5
millsite_prices,2010-2015,data\raw\2010-2015\millsite_prices.pdf,success,lattice,5
raw_production,2015-2020,data\raw\2015-2020\raw_production_area_yield.pdf,success,lattice,1
refined_production,2015-2020,data\raw\2015-2020\refined_production.pdf,success,lattice,1
raw_domestic_withdrawals,2015-2020,data\raw\2015-2020\raw_domestic_withdrawals.pdf,success,lattice,1
refined_withdrawals,2015-2020,data\raw\2015-2020\refined_withdrawals.pdf,success,lattice,2
metro_manila_prices,2015-2020,data\raw\2015-2020\metro_manila_prices.pdf,success,lattice,2
millsite_prices,2015-2020,data\raw\2015-2020\millsite_prices.pdf,success,lattice,6
raw_production,2020-2025,data\raw\2020-2025\raw_production_area_yield.pdf,success,lattice,1
refined_production,2020-2025,data\raw\2020-2025\refined_production.pdf,success,lattice,1
raw_domestic_withdrawals,2020-2025,data\raw\2020-2025\raw_domestic_withdrawals.pdf,success,lattice,1
refined_withdrawals,2020-2025,data\raw\2020-2025\refined_withdrawals.pdf,success,lattice,1
metro_manila_prices,2020-2025,data\raw\2020-2025\metro_manila_prices.pdf,success,lattice,10
millsite_prices,2020-2025,data\raw\2020-2025\millsite_prices.pdf,success,lattice,5
